# map file
# Format: waterfowl, virus, longitude, latitude
# An influenza variant: "mutated while in the waterfowl creating a new variant that is capable from jumping from waterfowl to seals".  
# http://www.healthmap.org/site/diseasedaily/article/baby-seals-die-new-influenza-variant-not-bird-flu-8112
Pintail,H3N8,64.90865,-148.80215
Green-Winged Teal,H3N8,64.90481,-148.87319
Shoveler,H3N8,64.90481,-148.87319
Mallard,H3N8,64.90723,-148.83553
Mallard,H3N8,64.90723,-148.83553
Mallard,H3N8,64.89896,-148.81513
Mallard,H3N8,64.92657,-148.81829
Mallard,H3N8,64.92657,-148.81829
Mallard,H3N8,64.92657,-148.81829
Mallard,H3N8,64.92657,-148.81829
Mallard,H3N8,64.92657,-148.81829
Mallard,H3N8,64.92657,-148.81829
Mallard,H3N8,64.92657,-148.81829
Pintail,H3N8,64.89604,-148.84413
Mallard,H3N8,64.89807,-148.76663
Mallard,H3N8,64.89807,-148.76663
Mallard,H3N8,64.89986,-148.83792
Pintail,H3N8,64.92091,-148.84015
Mallard,H3N8,64.89986,-148.83792
Pintail,H3N8,64.93795,-148.80226
Mallard,H3N8,64.92091,-148.84015
Pintail,H3N8,64.92091,-148.84015
Mallard,H3N8,64.92657,-148.81829
Mallard,H3N8,64.89604,-148.84413
Mallard,H3N8,64.93499,-148.81372
Mallard,H3N8,64.93499,-148.81372
Pintail,H3N8,64.89604,-148.84413
Green-Winged Teal,H3N8,64.98129,-149.6911
Mallard,H3N8,64.98129,-149.6911
Green-Winged Teal,H3N8,64.98129,-149.6911
Mallard,H3N8,65.00944,-149.54833
Green-Winged Teal,H3N8,64.95459,-148.78583
Green-Winged Teal,H3N8,64.95459,-148.78583
Green-Winged Teal,H3N8,64.95459,-148.78583
Green-Winged Teal,H3N8,64.95459,-148.78583
Pintail,H3N8,64.92657,-148.81829
Pintail,H3N8,64.93499,-148.81372
Pintail,H3N8,64.92657,-148.81829
Pintail,H3N8,64.92657,-148.81829
Mallard,H3N8,64.92657,-148.81829
Mallard,H3N8,64.92657,-148.81829
Mallard,H3N8,64.92657,-148.81829
Pintail,H3N8,64.98129,-149.6911
Pintail,H3N8,64.873,-148.842
Shoveler,H3N8,64.882917,-146.769703
Shoveler,H3N8,64.98129,-149.6911
Mallard,H3N8,64.98129,-149.6911
Shoveler,H3N8,64.98129,-149.6911
Shoveler,H3N8,64.98129,-149.6911
Mallard,H3N8,64.98129,-149.6911
Mallard,H3N8,64.98129,-149.6911
Mallard,H3N8,64.924,-148.817
Shoveler,H3N8,64.98129,-149.6911
Pintail,H3N8,64.98129,-149.6911
Pintail,H3N8,64.914,-148.809
Pintail,H3N8,64.878,-148.824
Mallard,H3N8,64.924,-148.817
Green-Winged Teal,H3N8,64.903,-148.816
Shoveler,H3N8,64.98129,-149.6911
Mallard,H3N8,64.98129,-149.6911
Mallard,H3N8,64.98129,-149.6911
Mallard,H3N8,64.98129,-149.6911
Shoveler,H3N8,64.98129,-149.6911
American Wigeon,H3N8,64.98129,-149.6911
Green-Winged Teal,H3N8,64.98129,-149.6911
Shoveler,H3N8,64.98129,-149.6911
American Wigeon,H3N8,64.98129,-149.6911
Mallard,H3N8,64.98129,-149.6911
Pintail,H3N8,39.406322,-122.173666
Mallard,H3N8,38.6481,-121.667
Mallard,H3N8,38.6481,-121.667
Mallard,H3N8,38.172691,-122.07515
Mallard,H3N8,38.0238,-121.5405
Mallard,H3N8,38.1307,-121.9814
Mallard,H3N8,38.1307,-121.9814
Mallard,H3N8,38.1307,-121.9814
Mallard,H3N8,38.1307,-121.9814
Mallard,H3N8,38.1307,-121.9814
Mallard,H3N8,38.1307,-121.9814
Mallard,H3N8,38.1307,-121.9814
Mallard,H3N8,38.1307,-121.9814
Mallard,H3N8,38.1307,-121.9814
Mallard,H3N8,38.1307,-121.9814
Mallard,H3N8,38.1307,-121.9814
Mallard,H3N8,38.1307,-121.9814
Mallard,H3N8,38.1307,-121.9814
Mallard,H3N8,38.1307,-121.9814
Pintail,H3N8,48.398342,-95.996197
Mallard,H3N8,48.398342,-95.996197
Mallard,H3N8,48.398342,-95.996197
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.499281,-95.926203
Mallard,H3N8,48.499281,-95.926203
Mallard,H3N8,48.499281,-95.926203
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Blue-Winged Teal,H3N8,48.4556,-95.953547
Green-Winged Teal,H3N8,48.4556,-95.953547
Mallard,H3N8,48.499281,-95.926203
Mallard,H3N8,48.499281,-95.926203
Mallard,H3N8,48.499281,-95.926203
Mallard,H3N8,48.499281,-95.926203
Mallard,H3N8,48.499281,-95.926203
Mallard,H3N8,48.398342,-95.996197
Mallard,H3N8,48.398342,-95.996197
Mallard,H3N8,48.332253,-96.015942
